Lag,Autocorrelation
1,0.6656596355391233
2,0.331319271078289
3,-0.0030210933825390936
4,-0.003024108445795121
5,-0.003027123509051148
6,-0.003030138572307175
7,-0.003033153635563202
8,-0.0030361686988192296
9,-0.0030391837620752566
10,-0.003042198825331283
11,-0.0030452138885873102
12,-0.0030482289518433377
13,-0.0030512440150993647
14,-0.0030542590783553918
15,-0.0030572741416114184
16,-0.003060289204867446
17,-0.003063304268123473
18,-0.0030663193313795
19,-0.003069334394635527
20,-0.0030723494578915544
